,text_length,text_length,word_count,word_count,sentence_count,sentence_count,avg_word_length,avg_word_length,text_length,text_length,word_count,word_count,sentence_count,sentence_count,paragraph_count,avg_word_length,avg_word_length,avg_sentence_length,exclamation_count,question_count,comma_count,semicolon_count,colon_count,quotation_count,capital_letter_ratio,digit_ratio,space_ratio,flesch_reading_ease,flesch_kincaid_grade,automated_readability_index,coleman_liau_index,gunning_fog,smog_index,dale_chall_readability_score,2gram_count,2gram_unique_count,2gram_diversity,3gram_count,3gram_unique_count,3gram_diversity,vocabulary_size,type_token_ratio,hapax_legomena,hapax_ratio,dis_legomena,dis_ratio
count,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0
mean,1670.9229,1670.9229,290.7713,290.7713,16.2942,14.6822,5.2761,5.2682,1670.9229,1670.9229,290.7713,290.7713,16.2942,14.6822,2.9931,5.2761,5.2682,17.5467,0.1796,0.528,12.5364,0.0029,0.2709,6.5047,0.0147,0.0032,0.1576,39.6346,12.0243,12.0239,12.3276,14.7188,13.3799,10.8246,289.7713,253.5356,0.935,288.7713,276.9633,0.9786,126.8662,0.6686,82.3458,0.7694,19.3687,0.1181
std,1654.1183,1654.1183,291.0905,291.0905,15.5014,14.62,0.7034,0.7087,1654.1183,1654.1183,291.0905,291.0905,15.5014,14.62,2.0765,0.7034,0.7087,4.9581,0.8063,1.3127,15.477,0.0602,0.9485,8.992,0.0093,0.0053,0.0213,24.2385,3.1124,2.8484,3.9085,4.0395,2.2335,2.0003,291.0905,252.1242,0.0729,291.0905,278.6963,0.0309,116.7582,0.2528,73.5921,0.157,19.2553,0.0633
min,78.0,78.0,13.0,13.0,2.0,1.0,3.9742,3.9605,78.0,78.0,13.0,13.0,2.0,1.0,1.0,3.9742,3.9605,10.0566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1091,-40.6369,4.4801,4.0664,4.2822,5.2,3.1291,6.7716,12.0,11.0,0.706,11.0,11.0,0.8207,11.0,0.2701,8.0,0.425,0.0,0.0
25%,95.0,95.0,14.0,14.0,2.0,1.0,4.7059,4.6909,95.0,95.0,14.0,14.0,2.0,1.0,1.0,4.7059,4.6909,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.0,0.1383,23.425,9.7383,10.1293,9.2034,11.5059,11.5398,9.0842,13.0,13.0,0.8803,12.0,12.0,0.9658,13.0,0.4273,13.0,0.6284,1.0,0.0769
50%,1896.5,1896.5,304.5,304.5,15.0,15.0,5.0667,5.0625,1896.5,1896.5,304.5,304.5,15.0,15.0,3.0,5.0667,5.0625,16.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0119,0.0007,0.1628,47.5964,11.5,11.7431,11.2031,14.0,13.0239,10.3634,303.5,276.0,0.9513,302.5,297.0,0.9949,146.0,0.5537,83.5,0.7372,19.0,0.1376
75%,2987.0,2987.0,525.0,525.0,28.0,26.75,5.7857,5.7857,2987.0,2987.0,525.0,525.0,28.0,26.75,5.0,5.7857,5.7857,20.1111,0.0,0.0,22.0,0.0,0.0,11.0,0.0184,0.0044,0.1763,59.0095,13.9877,13.4936,15.2286,17.0286,14.5546,12.7836,524.0,458.0,1.0,523.0,500.0,1.0,225.0,0.9286,142.0,0.9231,36.0,0.1667
max,8436.0,8436.0,1360.0,1360.0,96.0,72.0,7.5385,7.5385,8436.0,8436.0,1360.0,1360.0,96.0,72.0,16.0,7.5385,7.5385,95.2857,17.0,13.0,105.0,2.0,15.0,65.0,0.4108,0.0349,0.2024,86.375,37.9181,46.7335,25.2,41.1128,21.1944,15.5951,1359.0,1124.0,1.0,1358.0,1286.0,1.0,483.0,1.0,346.0,1.0,79.0,0.3333
